ALS|GLON(deg)|GLAT(deg)
17135|  129.05|   -0.34
19321|  129.07|   -0.39
19341|  129.06|   -0.34
19342|  129.06|   -0.34
19343|  129.09|   -0.43
19344|  129.07|   -0.35
19322|  129.08|   -0.37
17130|  129.08|   -0.35
19345|  129.07|   -0.32
19346|  129.08|   -0.34
19347|  129.09|   -0.37
19348|  129.08|   -0.34
19349|  129.08|   -0.32
19350|  129.08|   -0.35
19351|  129.08|   -0.34
19352|  129.09|   -0.35
19353|  129.09|   -0.35
 6714|  129.45|   -2.09
19597|  298.29|  -41.97
17131|  129.09|   -0.35
 6715|  129.10|   -0.34
 6717|  130.26|   -5.96
19323|  129.10|   -0.34
 6716|  129.11|   -0.39
19354|  129.11|   -0.36
19324|  129.11|   -0.36
17132|  129.12|   -0.35
19355|  129.13|   -0.39
19325|  129.13|   -0.37
 6718|  129.39|   -1.59
 6720|  129.38|   -1.54
 6721|  129.67|   -2.86
 6719|  128.88|    0.91
 6723|  130.01|   -4.44
19356|  129.17|   -0.40
 6722|  129.17|   -0.39
 6728|  130.35|   -5.99
17133|  129.17|   -0.33
