#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
  83|SWIFT J0131.8-3307    | 22.993|-33.113|    7.91|ESO353-9                      |                               | 22.9601|-33.1193|   14.48|   12.16|   16.66|  0.0|1.86|1.47|2.31|      0.40| 0.0160| 42.9|           |         50|Sy2                 
  84|SWIFT J0134.1-3625    | 23.490|-36.493|   22.87|NGC612                        |                               | 23.4906|-36.4933|   48.97|   46.94|   51.52|  0.0|1.61|1.48|1.73|      0.10| 0.0300| 44.0|           |         50|Sy2                 
  85|SWIFT J0134.8-0430    | 23.744| -4.520|    9.98|LEDA1057320                   |                               | 23.6902| -4.5036|   19.27|   17.13|   21.94|  0.0|1.80|1.49|2.13|      0.70| 0.0790| 44.4|           |         50|Sy1.9               
  86|SWIFT J0136.5+3906    | 24.126| 39.050|    4.76|B30133+388                    |                               | 24.1354| 39.0999|    7.91|    6.07|   10.19|  0.0|1.99|1.30|2.89|      1.90|       |     |           |         80|Beamed AGN          
  87|SWIFT J0138.6-4001    | 24.660|-40.005|   36.50|ESO297-18                     |                               | 24.6548|-40.0114|   67.37|   65.50|   69.72|  0.0|1.79|1.71|1.87|      1.10| 0.0250| 43.9|           |         50|Sy2                 
  88|SWIFT J0138.8+2925    | 24.626| 29.449|    4.56|LEDA138434                    |                               | 24.8500| 29.4019|    5.33|    3.32|    7.31|  0.0|2.64|1.70|4.27|      1.00| 0.0750| 43.8|           |         50|Sy1.9               
  89|SWIFT J0140.6-5321    | 25.132|-53.345|    9.56|2MASXJ01402676-5319389        |                               | 25.1116|-53.3276|   12.94|   11.03|   14.96|  0.0|2.23|1.87|2.66|      1.00| 0.0740| 44.2|           |         50|Sy2                 
  90|SWIFT J0142.0+3922    | 25.524| 39.401|    9.00|B20138+39B                    |                               | 25.4906| 39.3914|   14.92|   12.59|   17.39|  0.0|2.08|1.70|2.52|      0.80| 0.0800| 44.3|           |         80|Beamed AGN          
  91|SWIFT J0146.0+6143    | 26.607| 61.750|   30.64|PSR J0146+61                  |                               | 26.5934| 61.7509|  114.47|  111.18|  117.95|  0.0|0.87|0.79|0.95|      0.80|       |     |           |        150|Pulsar              
  92|SWIFT J0149.2+2153A   | 27.159| 21.789|    2.21|LEDA1656658                   |                               | 27.2487| 21.7593|    3.87|    0.75|    6.92|  0.0|2.08|0.00|0.00|      0.80| 0.0020| 40.5|           |         70|Unknown AGN         
  93|SWIFT J0149.2+2153B   | 27.329| 21.953|    5.24|NGC678                        |                               | 27.3536| 21.9973|    6.63|    3.79|    9.61|  0.0|2.43|1.42|4.17|      0.50| 0.0090| 42.1|           |         70|Unknown AGN         
  94|SWIFT J0149.9-5019    | 27.375|-50.325|    7.39|CSRG165                       |                               | 27.3428|-50.2521|   13.20|   10.40|   16.11|  0.0|1.58|1.15|2.04|      0.40| 0.0300| 43.4|           |         40|Sy1.2               
  95|SWIFT J0151.3-3610    | 27.869|-36.134|    6.83|ESO354-4                      |                               | 27.9245|-36.1878|   11.18|    8.62|   13.83|  0.0|1.98|1.52|2.51|      0.40| 0.0330| 43.4|           |         50|Sy1.9               
  96|SWIFT J0152.8-0329    | 28.202| -3.461|   11.55|MCG-1-5-47                    |                               | 28.2042| -3.4468|   24.02|   20.92|   27.25|  0.0|1.80|1.56|2.06|      3.00| 0.0170| 43.2|           |         50|Sy2                 
  97|SWIFT J0154.9-2707    | 28.635|-27.147|   11.60|2MASSiJ0154403-270701         |                               | 28.6679|-27.1169|   15.96|   13.70|   18.33|  0.0|2.44|2.13|2.79|      0.50| 0.1510| 44.9|           |         70|Unknown AGN         
  98|SWIFT J0155.4+0228    | 28.865|  2.513|    8.54|RBS255                        |                               | 28.8538|  2.4712|   13.24|   10.54|   16.07|  0.0|2.31|1.89|2.84|      1.20| 0.0820| 44.3|           |         40|Sy1                 
  99|SWIFT J0157.2+4715    | 29.288| 47.264|    5.93|LEDA2295246                   |                               | 29.2956| 47.2666|   12.13|    9.14|   15.26|  0.0|1.81|1.35|2.31|      0.90| 0.0480| 43.8|           |         40|Sy1                 
 100|SWIFT J0157.8-7300    | 29.372|-73.015|    7.18|IGR J01572-7259               |                               | 29.3173|-72.9757|    8.80|    6.73|   10.93|  0.0|2.55|1.99|3.30|      0.50|       |     |           |        180|HMXB                
 101|SWIFT J0200.3+2428    | 30.155| 24.465|    4.96|UGC1479                       |                               | 30.0794| 24.4737|   13.19|   10.08|   17.30|  0.0|1.31|0.75|1.91|      1.60| 0.0160| 42.9|           |         50|Sy2                 
